# im ir ii xm ym wm hm lm rm
116 3 1 0.153979 0.449720 56.100000 46.723169 61.123768 475.350000
117 3 1 -0.312479 0.358210 56.100000 46.723169 61.123768 475.350000
118 3 1 -0.466459 -0.091510 56.100000 46.723169 61.123768 475.350000
119 3 1 -0.153979 -0.449720 56.100000 46.723169 61.123768 475.350000
120 3 1 0.312479 -0.358210 56.100000 46.723169 61.123768 475.350000
121 3 2 0.451315 0.149241 56.100000 46.723169 61.123768 475.350000
122 3 2 0.096411 0.465470 56.100000 46.723169 61.123768 475.350000
123 3 2 -0.354903 0.316230 56.100000 46.723169 61.123768 475.350000
124 3 2 -0.451315 -0.149241 56.100000 46.723169 61.123768 475.350000
125 3 2 -0.096411 -0.465470 56.100000 46.723169 61.123768 475.350000
126 3 2 0.354903 -0.316230 56.100000 46.723169 61.123768 475.350000
127 3 3 0.429056 0.204618 56.100000 46.723169 61.123768 475.350000
128 3 3 0.037323 0.473882 56.100000 46.723169 61.123768 475.350000
129 3 3 -0.391733 0.269264 56.100000 46.723169 61.123768 475.350000
130 3 3 -0.429056 -0.204618 56.100000 46.723169 61.123768 475.350000
131 3 3 -0.037323 -0.473882 56.100000 46.723169 61.123768 475.350000
132 3 3 0.391733 -0.269264 56.100000 46.723169 61.123768 475.350000
133 3 4 0.400033 0.256771 56.100000 46.723169 61.123768 475.350000
134 3 4 -0.022353 0.474824 56.100000 46.723169 61.123768 475.350000
135 3 4 -0.422386 0.218054 56.100000 46.723169 61.123768 475.350000
136 3 4 -0.400033 -0.256771 56.100000 46.723169 61.123768 475.350000
137 3 4 0.022353 -0.474824 56.100000 46.723169 61.123768 475.350000
138 3 4 0.422386 -0.218054 56.100000 46.723169 61.123768 475.350000
139 3 5 0.364704 0.304875 56.100000 46.723169 61.123768 475.350000
140 3 5 -0.081677 0.468280 56.100000 46.723169 61.123768 475.350000
141 3 5 -0.446381 0.163405 56.100000 46.723169 61.123768 475.350000
142 3 5 -0.364704 -0.304875 56.100000 46.723169 61.123768 475.350000
143 3 5 0.081677 -0.468280 56.100000 46.723169 61.123768 475.350000
144 3 5 0.446381 -0.163405 56.100000 46.723169 61.123768 475.350000
145 3 6 0.323625 0.348173 56.100000 46.723169 61.123768 475.350000
146 3 6 -0.139714 0.454354 56.100000 46.723169 61.123768 475.350000
147 3 6 -0.463339 0.106181 56.100000 46.723169 61.123768 475.350000
148 3 6 -0.323625 -0.348173 56.100000 46.723169 61.123768 475.350000
149 3 6 0.139714 -0.454354 56.100000 46.723169 61.123768 475.350000
150 3 6 0.463339 -0.106181 56.100000 46.723169 61.123768 475.350000
151 3 7 0.277445 0.385982 56.100000 46.723169 61.123768 475.350000
152 3 7 -0.195548 0.433265 56.100000 46.723169 61.123768 475.350000
153 3 7 -0.472993 0.047283 56.100000 46.723169 61.123768 475.350000
154 3 7 -0.277445 -0.385982 56.100000 46.723169 61.123768 475.350000
155 3 7 0.195548 -0.433265 56.100000 46.723169 61.123768 475.350000
156 3 7 0.472993 -0.047283 56.100000 46.723169 61.123768 475.350000
157 4 0 0.535332 0.047672 56.100000 77.469387 54.069043 537.450000
158 4 0 0.226381 0.487447 56.100000 77.469387 54.069043 537.450000
159 4 0 -0.308951 0.439775 56.100000 77.469387 54.069043 537.450000
160 4 0 -0.535332 -0.047672 56.100000 77.469387 54.069043 537.450000
161 4 0 -0.226381 -0.487447 56.100000 77.469387 54.069043 537.450000
162 4 0 0.308951 -0.439775 56.100000 77.469387 54.069043 537.450000
163 4 1 0.519778 0.136686 56.100000 77.469387 54.069043 537.450000
164 4 1 0.141516 0.518484 56.100000 77.469387 54.069043 537.450000
165 4 1 -0.378263 0.381798 56.100000 77.469387 54.069043 537.450000
166 4 1 -0.519778 -0.136686 56.100000 77.469387 54.069043 537.450000
167 4 1 -0.141516 -0.518484 56.100000 77.469387 54.069043 537.450000
168 4 1 0.378263 -0.381798 56.100000 77.469387 54.069043 537.450000
169 4 2 0.489532 0.221836 56.100000 77.469387 54.069043 537.450000
170 4 2 0.052650 0.534865 56.100000 77.469387 54.069043 537.450000
171 4 2 -0.436882 0.313029 56.100000 77.469387 54.069043 537.450000
172 4 2 -0.489532 -0.221836 56.100000 77.469387 54.069043 537.450000
173 4 2 -0.052650 -0.534865 56.100000 77.469387 54.069043 537.450000
174 4 2 0.436882 -0.313029 56.100000 77.469387 54.069043 537.450000
175 4 3 0.445447 0.300715 56.100000 77.469387 54.069043 537.450000
176 4 3 -0.037704 0.536126 56.100000 77.469387 54.069043 537.450000
177 4 3 -0.483150 0.235411 56.100000 77.469387 54.069043 537.450000
178 4 3 -0.445447 -0.300715 56.100000 77.469387 54.069043 537.450000
179 4 3 0.037704 -0.536126 56.100000 77.469387 54.069043 537.450000
180 4 3 0.483150 -0.235411 56.100000 77.469387 54.069043 537.450000
181 4 4 0.388770 0.371094 56.100000 77.469387 54.069043 537.450000
182 4 4 -0.126992 0.522231 56.100000 77.469387 54.069043 537.450000
183 4 4 -0.515761 0.151138 56.100000 77.469387 54.069043 537.450000
184 4 4 -0.388770 -0.371094 56.100000 77.469387 54.069043 537.450000
185 4 4 0.126992 -0.522231 56.100000 77.469387 54.069043 537.450000
186 4 4 0.515761 -0.151138 56.100000 77.469387 54.069043 537.450000
187 4 5 0.321103 0.430982 56.100000 77.469387 54.069043 537.450000
188 4 5 -0.212690 0.493574 56.100000 77.469387 54.069043 537.450000
189 4 5 -0.533793 0.062592 56.100000 77.469387 54.069043 537.450000
190 4 5 -0.321103 -0.430982 56.100000 77.469387 54.069043 537.450000
191 4 5 0.212690 -0.493574 56.100000 77.469387 54.069043 537.450000
192 4 5 0.533793 -0.062592 56.100000 77.469387 54.069043 537.450000
193 5 0 0.597793 0.045873 56.100000 73.835327 48.476604 599.550000
194 5 0 0.259169 0.540640 56.100000 73.835327 48.476604 599.550000
195 5 0 -0.338623 0.494767 56.100000 73.835327 48.476604 599.550000
196 5 0 -0.597793 -0.045873 56.100000 73.835327 48.476604 599.550000
197 5 0 -0.259169 -0.540640 56.100000 73.835327 48.476604 599.550000
198 5 0 0.338623 -0.494767 56.100000 73.835327 48.476604 599.550000
199 5 1 0.584913 0.131671 56.100000 73.835327 48.476604 599.550000
200 5 1 0.178426 0.572385 56.100000 73.835327 48.476604 599.550000
201 5 1 -0.406487 0.440714 56.100000 73.835327 48.476604 599.550000
202 5 1 -0.584913 -0.131671 56.100000 73.835327 48.476604 599.550000
203 5 1 -0.178426 -0.572385 56.100000 73.835327 48.476604 599.550000
204 5 1 0.406487 -0.440714 56.100000 73.835327 48.476604 599.550000
205 5 2 0.559785 0.214712 56.100000 73.835327 48.476604 599.550000
206 5 2 0.093947 0.592144 56.100000 73.835327 48.476604 599.550000
207 5 2 -0.465838 0.377432 56.100000 73.835327 48.476604 599.550000
208 5 2 -0.559785 -0.214712 56.100000 73.835327 48.476604 599.550000
209 5 2 -0.093947 -0.592144 56.100000 73.835327 48.476604 599.550000
210 5 2 0.465838 -0.377432 56.100000 73.835327 48.476604 599.550000
211 5 3 0.522935 0.293257 56.100000 73.835327 48.476604 599.550000
212 5 3 0.007500 0.599503 56.100000 73.835327 48.476604 599.550000
213 5 3 -0.515435 0.306247 56.100000 73.835327 48.476604 599.550000
214 5 3 -0.522935 -0.293257 56.100000 73.835327 48.476604 599.550000
215 5 3 -0.007500 -0.599503 56.100000 73.835327 48.476604 599.550000
216 5 3 0.515435 -0.306247 56.100000 73.835327 48.476604 599.550000
217 5 4 0.475134 0.365660 56.100000 73.835327 48.476604 599.550000
218 5 4 -0.079104 0.594309 56.100000 73.835327 48.476604 599.550000
219 5 4 -0.554238 0.228648 56.100000 73.835327 48.476604 599.550000
220 5 4 -0.475134 -0.365660 56.100000 73.835327 48.476604 599.550000
221 5 4 0.079104 -0.594309 56.100000 73.835327 48.476604 599.550000
222 5 4 0.554238 -0.228648 56.100000 73.835327 48.476604 599.550000
223 5 5 0.417384 0.430407 56.100000 73.835327 48.476604 599.550000
224 5 5 -0.164051 0.576669 56.100000 73.835327 48.476604 599.550000
225 5 5 -0.581436 0.146262 56.100000 73.835327 48.476604 599.550000
226 5 5 -0.417384 -0.430407 56.100000 73.835327 48.476604 599.550000
227 5 5 0.164051 -0.576669 56.100000 73.835327 48.476604 599.550000
228 5 5 0.581436 -0.146262 56.100000 73.835327 48.476604 599.550000
229 5 6 0.350894 0.486141 56.100000 73.835327 48.476604 599.550000
230 5 6 -0.245563 0.546954 56.100000 73.835327 48.476604 599.550000
231 5 6 -0.596458 0.060813 56.100000 73.835327 48.476604 599.550000
232 5 6 -0.350894 -0.486141 56.100000 73.835327 48.476604 599.550000
233 5 6 0.245563 -0.546954 56.100000 73.835327 48.476604 599.550000
234 5 6 0.596458 -0.060813 56.100000 73.835327 48.476604 599.550000
235 6 0 0.659719 0.050514 56.100000 83.125466 43.934716 661.650000
236 6 0 0.286113 0.596590 56.100000 83.125466 43.934716 661.650000
237 6 0 -0.373605 0.546077 56.100000 83.125466 43.934716 661.650000
238 6 0 -0.659719 -0.050514 56.100000 83.125466 43.934716 661.650000
239 6 0 -0.286113 -0.596590 56.100000 83.125466 43.934716 661.650000
240 6 0 0.373605 -0.546077 56.100000 83.125466 43.934716 661.650000
241 6 1 0.645456 0.145489 56.100000 83.125466 43.934716 661.650000
242 6 1 0.196730 0.631726 56.100000 83.125466 43.934716 661.650000
243 6 1 -0.448726 0.486237 56.100000 83.125466 43.934716 661.650000
244 6 1 -0.645456 -0.145489 56.100000 83.125466 43.934716 661.650000
245 6 1 -0.196730 -0.631726 56.100000 83.125466 43.934716 661.650000
246 6 1 0.448726 -0.486237 56.100000 83.125466 43.934716 661.650000
247 6 2 0.617594 0.237400 56.100000 83.125466 43.934716 661.650000
248 6 2 0.103202 0.653552 56.100000 83.125466 43.934716 661.650000
249 6 2 -0.514391 0.416152 56.100000 83.125466 43.934716 661.650000
250 6 2 -0.617594 -0.237400 56.100000 83.125466 43.934716 661.650000
251 6 2 -0.103202 -0.653552 56.100000 83.125466 43.934716 661.650000
252 6 2 0.514391 -0.416152 56.100000 83.125466 43.934716 661.650000
253 6 3 0.576719 0.324309 56.100000 83.125466 43.934716 661.650000
254 6 3 0.007500 0.661607 56.100000 83.125466 43.934716 661.650000
255 6 3 -0.569219 0.337299 56.100000 83.125466 43.934716 661.650000
256 6 3 -0.576719 -0.324309 56.100000 83.125466 43.934716 661.650000
257 6 3 -0.007500 -0.661607 56.100000 83.125466 43.934716 661.650000
258 6 3 0.569219 -0.337299 56.100000 83.125466 43.934716 661.650000
259 6 4 0.523693 0.404384 56.100000 83.125466 43.934716 661.650000
260 6 4 -0.088361 0.655723 56.100000 83.125466 43.934716 661.650000
261 6 4 -0.612053 0.251339 56.100000 83.125466 43.934716 661.650000
262 6 4 -0.523693 -0.404384 56.100000 83.125466 43.934716 661.650000
263 6 4 0.088361 -0.655723 56.100000 83.125466 43.934716 661.650000
264 6 4 0.612053 -0.251339 56.100000 83.125466 43.934716 661.650000
265 6 5 0.459633 0.475940 56.100000 83.125466 43.934716 661.650000
266 6 5 -0.182359 0.636023 56.100000 83.125466 43.934716 661.650000
267 6 5 -0.641992 0.160084 56.100000 83.125466 43.934716 661.650000
268 6 5 -0.459633 -0.475940 56.100000 83.125466 43.934716 661.650000
269 6 5 0.182359 -0.636023 56.100000 83.125466 43.934716 661.650000
270 6 5 0.641992 -0.160084 56.100000 83.125466 43.934716 661.650000
271 6 6 0.385888 0.537467 56.100000 83.125466 43.934716 661.650000
272 6 6 -0.272516 0.602923 56.100000 83.125466 43.934716 661.650000
273 6 6 -0.658404 0.065455 56.100000 83.125466 43.934716 661.650000
274 6 6 -0.385888 -0.537467 56.100000 83.125466 43.934716 661.650000
275 6 6 0.272516 -0.602923 56.100000 83.125466 43.934716 661.650000
276 6 6 0.658404 -0.065455 56.100000 83.125466 43.934716 661.650000
277 7 0 0.722118 0.048583 56.100000 79.238653 40.172957 723.750000
278 7 0 0.318985 0.649664 56.100000 79.238653 40.172957 723.750000
279 7 0 -0.403133 0.601081 56.100000 79.238653 40.172957 723.750000
280 7 0 -0.722118 -0.048583 56.100000 79.238653 40.172957 723.750000
281 7 0 -0.318985 -0.649664 56.100000 79.238653 40.172957 723.750000
282 7 0 0.403133 -0.601081 56.100000 79.238653 40.172957 723.750000
283 7 1 0.710086 0.139970 56.100000 79.238653 40.172957 723.750000
284 7 1 0.233825 0.684938 56.100000 79.238653 40.172957 723.750000
285 7 1 -0.476261 0.544967 56.100000 79.238653 40.172957 723.750000
286 7 1 -0.710086 -0.139970 56.100000 79.238653 40.172957 723.750000
287 7 1 -0.233825 -0.684938 56.100000 79.238653 40.172957 723.750000
288 7 1 0.476261 -0.544967 56.100000 79.238653 40.172957 723.750000
289 7 2 0.686537 0.229088 56.100000 79.238653 40.172957 723.750000
290 7 2 0.144873 0.709102 56.100000 79.238653 40.172957 723.750000
291 7 2 -0.541664 0.480015 56.100000 79.238653 40.172957 723.750000
292 7 2 -0.686537 -0.229088 56.100000 79.238653 40.172957 723.750000
293 7 2 -0.144873 -0.709102 56.100000 79.238653 40.172957 723.750000
294 7 2 0.541664 -0.480015 56.100000 79.238653 40.172957 723.750000
295 7 3 0.651852 0.314489 56.100000 79.238653 40.172957 723.750000
296 7 3 0.053570 0.721765 56.100000 79.238653 40.172957 723.750000
297 7 3 -0.598281 0.407276 56.100000 79.238653 40.172957 723.750000
298 7 3 -0.651852 -0.314489 56.100000 79.238653 40.172957 723.750000
299 7 3 -0.053570 -0.721765 56.100000 79.238653 40.172957 723.750000
300 7 3 0.598281 -0.407276 56.100000 79.238653 40.172957 723.750000
301 7 4 0.606593 0.394789 56.100000 79.238653 40.172957 723.750000
